action_closedoors | Закрыть Все Двери
mission_cannotassigntolayer | Невозможно назначить *X
mission_collected | СОБРАНО
mission_combat_accept | Мы отметили местоположение вражеских сил на вашей карте. Удачной охоты.
mission_combat_alldestroyed | Все вражеские силы уничтожены. Общая оплата $*X.
mission_combat_attacknow | Вы обнаружили вражеские силы! Уничтожьте их немедленно.
mission_combat_description1 | В близлежащей звездной системе в этом секторе действует небольшой флот вражеских кораблей, работающих незаконно.
mission_combat_description2 | Они слишком долго нападали на торговые и гуманитарные корабли.
mission_combat_description3 | Отправляйтесь в систему, вступите с ними в бой и уничтожьте их.
mission_combat_destroyed | Вы уничтожили *X врагов из *Y
mission_combat_failure | Оставшиеся вражеские силы сбежали.
mission_combat_location | Вражеские корабли находятся в системе S*X.
mission_combat_mines_description1 | Пиратские силы создали опасное минное поле на оживленном торговом маршруте.
mission_combat_mines_description2 | Их цель, похоже, состоит в том, чтобы повредить любые торговые корабли, которые подойдут слишком близко, а затем ограбить застрявшие корабли от ценного груза.
mission_combat_mines_description3 | Отправляйтесь в систему и уничтожьте минное поле, прежде чем появятся пиратские силы.
mission_combat_mines_requirement | Вам понадобится оружейная система для уничтожения мин на расстоянии.
mission_combat_objective | Обнаружить и атаковать вражеские силы
mission_combat_piratecount | Сообщения указывают, что во вражеском флоте *X кораблей, скрывающихся в звездной системе *Y.
mission_combat_requirements | Вам потребуется вооруженный боевой корабль для принятия этой миссии.
mission_combat_success | Уничтожено *X/*Y Врагов
mission_combat_title_armouredthugs | Уничтожить бронированных головорезов
mission_combat_title_communityships | Атаковать и уничтожить вражескую пиратскую банду
mission_combat_title_mercenarystation | Уничтожить вражескую наемную оружейную платформу
mission_combat_title_mines | Очистить опасное минное поле
mission_combat_title_pirategang | Нейтрализовать пиратскую банду
mission_combat_title_roguefighters | Атаковать и уничтожить мятежные истребители
mission_completed | ЗАВЕРШЕНО
mission_contractcompleted | Контракт Завершен
mission_courseplotted | КУРС ПРОЛОЖЕН
mission_deliver | Доставить
mission_delivered | ДОСТАВЛЕНО
mission_delivery_alldelivered | Весь груз доставлен. Удачи.
mission_delivery_delivery | Доставлено *X из *Y предметов.
mission_delivery_description | У меня есть *X ящиков припасов, которые нужно доставить.
mission_delivery_descriptionfurther | Место назначения находится в *Y Прыжках Между Секторами, в Секторе *X.
mission_delivery_destination | Место назначения находится в этом Секторе, в Звездной Системе S*X.
mission_delivery_location | Отправиться в систему доставки
mission_delivery_lost | Оставшиеся *X предметов груза не учтены.
mission_delivery_outoftime | Слишком поздно - вам больше не заплатят за оставшийся груз.
mission_delivery_received | Получено *X из *Y предметов. Общая причитающаяся оплата $*Z.
mission_delivery_shuttle | Челнок уже в пути к вам с припасами.
mission_delivery_success | Доставлено *X из *Y предметов
mission_delivery_timed | Эти товары требуются немедленно. У вас будет всего *X минут. (+50% оплата)
mission_delivery_timeremaining | У вас осталось всего *X секунд для совершения доставки!
mission_delivery_title | Курьерская миссия: Доставить груз в близлежащую систему
mission_delivery_titlefurther | Доставить груз в другой сектор
mission_delivery_toolate | Получено *X из *Y предметов, но срок теперь истек.
mission_delivery_turnin | Челнок уже в пути для сбора груза.
mission_delivery_wrongdestination | Часть груза была доставлена не в то место. Вам не заплатят.
mission_difficulty | Этой миссии присвоен рейтинг сложности *X.
mission_difficulty_short | СЛОЖНОСТЬ *X
mission_episode_1 | ЭПИЗОД 1
mission_failed | ПРОВАЛЕНО
mission_flightready_description1 | Все корабли должны пройти базовую сертификацию готовности к полету, прежде чем им будет разрешено участвовать в операциях.
mission_flightready_description2 | Корабль требует каждой из следующих возможностей для получения сертификата 'Готовность К Полету':
mission_flightready_engines | Двигатели, способные к движению
mission_flightready_engines_help | Двигатели для движения.  Испытайте ваши двигатели (Из ТАКТИЧЕСКОГО режима), чтобы сертифицировать их.
mission_flightready_ftl | Гипердвигатель, способный совершать гиперпространственные прыжки
mission_flightready_ftljump | Прыгнуть к отмеченному месту назначения
mission_flightready_ftljump_help | Гипердвигатель.  Испытайте ваш новый Гипердвигатель, совершив прыжок к месту назначения, отмеченному на карте.
mission_flightready_lifesupport | Система жизнеобеспечения, чтобы сделать интерьер пригодным для жизни [*X%]
